outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2009-10,Alabama,0.208516,0.182762,0.236846
Any Mental Illness in the Past Year,18 or Older,2009-10,Alaska,0.193906,0.168815,0.221732
Any Mental Illness in the Past Year,18 or Older,2009-10,Arizona,0.182568,0.158045,0.209948
Any Mental Illness in the Past Year,18 or Older,2009-10,Arkansas,0.200358,0.17641,0.226663
Any Mental Illness in the Past Year,18 or Older,2009-10,California,0.170665,0.157491,0.184699
Any Mental Illness in the Past Year,18 or Older,2009-10,Colorado,0.184197,0.160216,0.210867
Any Mental Illness in the Past Year,18 or Older,2009-10,Connecticut,0.176349,0.152343,0.203231
Any Mental Illness in the Past Year,18 or Older,2009-10,Delaware,0.182902,0.159633,0.208719
Any Mental Illness in the Past Year,18 or Older,2009-10,District of Columbia,0.191407,0.168579,0.216521
Any Mental Illness in the Past Year,18 or Older,2009-10,Florida,0.170167,0.156809,0.184415
Any Mental Illness in the Past Year,18 or Older,2009-10,Georgia,0.155603,0.134537,0.179283
Any Mental Illness in the Past Year,18 or Older,2009-10,Hawaii,0.177446,0.154593,0.202867
Any Mental Illness in the Past Year,18 or Older,2009-10,Idaho,0.224307,0.197579,0.253508
Any Mental Illness in the Past Year,18 or Older,2009-10,Illinois,0.169676,0.15626,0.183993
Any Mental Illness in the Past Year,18 or Older,2009-10,Indiana,0.188268,0.1661,0.212639
Any Mental Illness in the Past Year,18 or Older,2009-10,Iowa,0.192106,0.168774,0.217819
Any Mental Illness in the Past Year,18 or Older,2009-10,Kansas,0.159871,0.138835,0.183416
Any Mental Illness in the Past Year,18 or Older,2009-10,Kentucky,0.19324,0.16906,0.219963
Any Mental Illness in the Past Year,18 or Older,2009-10,Louisiana,0.175078,0.152683,0.199982
Any Mental Illness in the Past Year,18 or Older,2009-10,Maine,0.186954,0.163388,0.213053
Any Mental Illness in the Past Year,18 or Older,2009-10,Maryland,0.170326,0.146013,0.19775
Any Mental Illness in the Past Year,18 or Older,2009-10,Massachusetts,0.185056,0.162698,0.209718
Any Mental Illness in the Past Year,18 or Older,2009-10,Michigan,0.196954,0.18308,0.211608
Any Mental Illness in the Past Year,18 or Older,2009-10,Minnesota,0.183804,0.162082,0.207715
Any Mental Illness in the Past Year,18 or Older,2009-10,Mississippi,0.177948,0.15588,0.202391
Any Mental Illness in the Past Year,18 or Older,2009-10,Missouri,0.19415,0.170749,0.219909
Any Mental Illness in the Past Year,18 or Older,2009-10,Montana,0.207227,0.183742,0.232857
Any Mental Illness in the Past Year,18 or Older,2009-10,Nebraska,0.175838,0.153339,0.200855
Any Mental Illness in the Past Year,18 or Older,2009-10,Nevada,0.202759,0.176231,0.232154
Any Mental Illness in the Past Year,18 or Older,2009-10,New Hampshire,0.197634,0.173648,0.224034
Any Mental Illness in the Past Year,18 or Older,2009-10,New Jersey,0.1754,0.153268,0.199974
Any Mental Illness in the Past Year,18 or Older,2009-10,New Mexico,0.164307,0.141947,0.189412
Any Mental Illness in the Past Year,18 or Older,2009-10,New York,0.190202,0.175685,0.20562
Any Mental Illness in the Past Year,18 or Older,2009-10,North Carolina,0.172179,0.149238,0.197827
Any Mental Illness in the Past Year,18 or Older,2009-10,North Dakota,0.162614,0.141592,0.186081
Any Mental Illness in the Past Year,18 or Older,2009-10,Ohio,0.196643,0.182328,0.211791
Any Mental Illness in the Past Year,18 or Older,2009-10,Oklahoma,0.203445,0.179176,0.230081
Any Mental Illness in the Past Year,18 or Older,2009-10,Oregon,0.201182,0.178506,0.225947
Any Mental Illness in the Past Year,18 or Older,2009-10,Pennsylvania,0.175322,0.161059,0.190561
Any Mental Illness in the Past Year,18 or Older,2009-10,Rhode Island,0.212964,0.185442,0.243349
Any Mental Illness in the Past Year,18 or Older,2009-10,South Carolina,0.171804,0.148437,0.197994
Any Mental Illness in the Past Year,18 or Older,2009-10,South Dakota,0.168153,0.145553,0.193467
Any Mental Illness in the Past Year,18 or Older,2009-10,Tennessee,0.211718,0.184266,0.242047
Any Mental Illness in the Past Year,18 or Older,2009-10,Texas,0.1599,0.147021,0.173677
Any Mental Illness in the Past Year,18 or Older,2009-10,Utah,0.228679,0.204533,0.254763
Any Mental Illness in the Past Year,18 or Older,2009-10,Vermont,0.197546,0.173392,0.224152
Any Mental Illness in the Past Year,18 or Older,2009-10,Virginia,0.175178,0.153705,0.198945
Any Mental Illness in the Past Year,18 or Older,2009-10,Washington,0.207537,0.182589,0.234915
Any Mental Illness in the Past Year,18 or Older,2009-10,West Virginia,0.204691,0.17989,0.231945
Any Mental Illness in the Past Year,18 or Older,2009-10,Wisconsin,0.188942,0.166544,0.21358
Any Mental Illness in the Past Year,18 or Older,2009-10,Wyoming,0.194696,0.171628,0.220042
