outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2010-11,Alabama,0.217199,0.193466,0.242966
Any Mental Illness in the Past Year,18 or Older,2010-11,Alaska,0.192302,0.168741,0.218289
Any Mental Illness in the Past Year,18 or Older,2010-11,Arizona,0.197642,0.171977,0.226091
Any Mental Illness in the Past Year,18 or Older,2010-11,Arkansas,0.206251,0.180644,0.23445
Any Mental Illness in the Past Year,18 or Older,2010-11,California,0.163427,0.150571,0.177151
Any Mental Illness in the Past Year,18 or Older,2010-11,Colorado,0.175802,0.153897,0.200086
Any Mental Illness in the Past Year,18 or Older,2010-11,Connecticut,0.165848,0.143767,0.190566
Any Mental Illness in the Past Year,18 or Older,2010-11,Delaware,0.181881,0.159527,0.206597
Any Mental Illness in the Past Year,18 or Older,2010-11,District of Columbia,0.192803,0.169976,0.217892
Any Mental Illness in the Past Year,18 or Older,2010-11,Florida,0.161538,0.148753,0.175195
Any Mental Illness in the Past Year,18 or Older,2010-11,Georgia,0.171024,0.14881,0.195792
Any Mental Illness in the Past Year,18 or Older,2010-11,Hawaii,0.171777,0.149867,0.196152
Any Mental Illness in the Past Year,18 or Older,2010-11,Idaho,0.227817,0.201334,0.256664
Any Mental Illness in the Past Year,18 or Older,2010-11,Illinois,0.160528,0.147798,0.174131
Any Mental Illness in the Past Year,18 or Older,2010-11,Indiana,0.194857,0.170497,0.221767
Any Mental Illness in the Past Year,18 or Older,2010-11,Iowa,0.188363,0.166498,0.212368
Any Mental Illness in the Past Year,18 or Older,2010-11,Kansas,0.173572,0.152233,0.197206
Any Mental Illness in the Past Year,18 or Older,2010-11,Kentucky,0.195225,0.170538,0.222527
Any Mental Illness in the Past Year,18 or Older,2010-11,Louisiana,0.18566,0.163368,0.21023
Any Mental Illness in the Past Year,18 or Older,2010-11,Maine,0.170149,0.147216,0.195834
Any Mental Illness in the Past Year,18 or Older,2010-11,Maryland,0.175096,0.152329,0.20046
Any Mental Illness in the Past Year,18 or Older,2010-11,Massachusetts,0.178609,0.156989,0.20249
Any Mental Illness in the Past Year,18 or Older,2010-11,Michigan,0.197335,0.183533,0.211905
Any Mental Illness in the Past Year,18 or Older,2010-11,Minnesota,0.173211,0.152241,0.196401
Any Mental Illness in the Past Year,18 or Older,2010-11,Mississippi,0.195153,0.172397,0.220114
Any Mental Illness in the Past Year,18 or Older,2010-11,Missouri,0.193778,0.170695,0.219158
Any Mental Illness in the Past Year,18 or Older,2010-11,Montana,0.194804,0.172951,0.218689
Any Mental Illness in the Past Year,18 or Older,2010-11,Nebraska,0.176945,0.155064,0.201178
Any Mental Illness in the Past Year,18 or Older,2010-11,Nevada,0.164758,0.141538,0.190941
Any Mental Illness in the Past Year,18 or Older,2010-11,New Hampshire,0.191913,0.167616,0.218805
Any Mental Illness in the Past Year,18 or Older,2010-11,New Jersey,0.160276,0.138562,0.184663
Any Mental Illness in the Past Year,18 or Older,2010-11,New Mexico,0.184432,0.161283,0.210071
Any Mental Illness in the Past Year,18 or Older,2010-11,New York,0.187165,0.173002,0.202204
Any Mental Illness in the Past Year,18 or Older,2010-11,North Carolina,0.164242,0.142079,0.1891
Any Mental Illness in the Past Year,18 or Older,2010-11,North Dakota,0.168343,0.14712,0.191939
Any Mental Illness in the Past Year,18 or Older,2010-11,Ohio,0.202483,0.188555,0.217165
Any Mental Illness in the Past Year,18 or Older,2010-11,Oklahoma,0.202597,0.178101,0.229521
Any Mental Illness in the Past Year,18 or Older,2010-11,Oregon,0.206147,0.181834,0.232786
Any Mental Illness in the Past Year,18 or Older,2010-11,Pennsylvania,0.175373,0.16241,0.189137
Any Mental Illness in the Past Year,18 or Older,2010-11,Rhode Island,0.182161,0.15901,0.20785
Any Mental Illness in the Past Year,18 or Older,2010-11,South Carolina,0.184275,0.161114,0.209933
Any Mental Illness in the Past Year,18 or Older,2010-11,South Dakota,0.178673,0.156369,0.203392
Any Mental Illness in the Past Year,18 or Older,2010-11,Tennessee,0.214026,0.187601,0.243059
Any Mental Illness in the Past Year,18 or Older,2010-11,Texas,0.156789,0.144222,0.170234
Any Mental Illness in the Past Year,18 or Older,2010-11,Utah,0.22016,0.195839,0.246575
Any Mental Illness in the Past Year,18 or Older,2010-11,Vermont,0.191062,0.168165,0.216266
Any Mental Illness in the Past Year,18 or Older,2010-11,Virginia,0.177998,0.155065,0.203506
Any Mental Illness in the Past Year,18 or Older,2010-11,Washington,0.215413,0.188825,0.244614
Any Mental Illness in the Past Year,18 or Older,2010-11,West Virginia,0.205166,0.180411,0.232355
Any Mental Illness in the Past Year,18 or Older,2010-11,Wisconsin,0.175348,0.152531,0.20077
Any Mental Illness in the Past Year,18 or Older,2010-11,Wyoming,0.17991,0.158365,0.203678
