outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2014-15,Alabama,0.188471,0.168983,0.209639
Any Mental Illness in the Past Year,18 or Older,2014-15,Alaska,0.181099,0.163457,0.200189
Any Mental Illness in the Past Year,18 or Older,2014-15,Arizona,0.183181,0.163842,0.204245
Any Mental Illness in the Past Year,18 or Older,2014-15,Arkansas,0.1977,0.177166,0.219978
Any Mental Illness in the Past Year,18 or Older,2014-15,California,0.170402,0.160658,0.180609
Any Mental Illness in the Past Year,18 or Older,2014-15,Colorado,0.195488,0.175559,0.217082
Any Mental Illness in the Past Year,18 or Older,2014-15,Connecticut,0.17416,0.154306,0.195977
Any Mental Illness in the Past Year,18 or Older,2014-15,Delaware,0.185053,0.165815,0.205972
Any Mental Illness in the Past Year,18 or Older,2014-15,District of Columbia,0.179538,0.161516,0.199094
Any Mental Illness in the Past Year,18 or Older,2014-15,Florida,0.167683,0.155667,0.18043
Any Mental Illness in the Past Year,18 or Older,2014-15,Georgia,0.174247,0.158763,0.190899
Any Mental Illness in the Past Year,18 or Older,2014-15,Hawaii,0.15912,0.142601,0.177157
Any Mental Illness in the Past Year,18 or Older,2014-15,Idaho,0.20414,0.184005,0.225867
Any Mental Illness in the Past Year,18 or Older,2014-15,Illinois,0.1616,0.149289,0.174718
Any Mental Illness in the Past Year,18 or Older,2014-15,Indiana,0.205625,0.184726,0.228227
Any Mental Illness in the Past Year,18 or Older,2014-15,Iowa,0.171039,0.153416,0.190231
Any Mental Illness in the Past Year,18 or Older,2014-15,Kansas,0.175221,0.156564,0.195586
Any Mental Illness in the Past Year,18 or Older,2014-15,Kentucky,0.213021,0.19087,0.236991
Any Mental Illness in the Past Year,18 or Older,2014-15,Louisiana,0.184198,0.164567,0.205594
Any Mental Illness in the Past Year,18 or Older,2014-15,Maine,0.191629,0.171456,0.213564
Any Mental Illness in the Past Year,18 or Older,2014-15,Maryland,0.166157,0.148563,0.185382
Any Mental Illness in the Past Year,18 or Older,2014-15,Massachusetts,0.189944,0.170032,0.211593
Any Mental Illness in the Past Year,18 or Older,2014-15,Michigan,0.180743,0.167558,0.194723
Any Mental Illness in the Past Year,18 or Older,2014-15,Minnesota,0.187845,0.169139,0.2081
Any Mental Illness in the Past Year,18 or Older,2014-15,Mississippi,0.179486,0.159875,0.200927
Any Mental Illness in the Past Year,18 or Older,2014-15,Missouri,0.179864,0.160563,0.200929
Any Mental Illness in the Past Year,18 or Older,2014-15,Montana,0.199723,0.178549,0.222726
Any Mental Illness in the Past Year,18 or Older,2014-15,Nebraska,0.181927,0.162537,0.20307
Any Mental Illness in the Past Year,18 or Older,2014-15,Nevada,0.179137,0.159995,0.200024
Any Mental Illness in the Past Year,18 or Older,2014-15,New Hampshire,0.216747,0.195358,0.23978
Any Mental Illness in the Past Year,18 or Older,2014-15,New Jersey,0.161886,0.146774,0.17823
Any Mental Illness in the Past Year,18 or Older,2014-15,New Mexico,0.199264,0.177959,0.222429
Any Mental Illness in the Past Year,18 or Older,2014-15,New York,0.172209,0.160571,0.184504
Any Mental Illness in the Past Year,18 or Older,2014-15,North Carolina,0.194793,0.177546,0.21328
Any Mental Illness in the Past Year,18 or Older,2014-15,North Dakota,0.167847,0.151414,0.185674
Any Mental Illness in the Past Year,18 or Older,2014-15,Ohio,0.201954,0.187848,0.216836
Any Mental Illness in the Past Year,18 or Older,2014-15,Oklahoma,0.191797,0.171978,0.213312
Any Mental Illness in the Past Year,18 or Older,2014-15,Oregon,0.214723,0.19409,0.236905
Any Mental Illness in the Past Year,18 or Older,2014-15,Pennsylvania,0.182059,0.168373,0.196596
Any Mental Illness in the Past Year,18 or Older,2014-15,Rhode Island,0.205033,0.183253,0.228676
Any Mental Illness in the Past Year,18 or Older,2014-15,South Carolina,0.175195,0.156383,0.195744
Any Mental Illness in the Past Year,18 or Older,2014-15,South Dakota,0.17574,0.157274,0.19587
Any Mental Illness in the Past Year,18 or Older,2014-15,Tennessee,0.198485,0.177961,0.22074
Any Mental Illness in the Past Year,18 or Older,2014-15,Texas,0.159846,0.148884,0.171453
Any Mental Illness in the Past Year,18 or Older,2014-15,Utah,0.204765,0.186201,0.224668
Any Mental Illness in the Past Year,18 or Older,2014-15,Vermont,0.202689,0.181629,0.225518
Any Mental Illness in the Past Year,18 or Older,2014-15,Virginia,0.191761,0.174923,0.209809
Any Mental Illness in the Past Year,18 or Older,2014-15,Washington,0.196784,0.177313,0.217827
Any Mental Illness in the Past Year,18 or Older,2014-15,West Virginia,0.208924,0.187068,0.232603
Any Mental Illness in the Past Year,18 or Older,2014-15,Wisconsin,0.187547,0.167732,0.209115
Any Mental Illness in the Past Year,18 or Older,2014-15,Wyoming,0.195111,0.17552,0.216316
