outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2016-17,Alabama,0.199491,0.179631,0.220956
Any Mental Illness in the Past Year,18 or Older,2016-17,Alaska,0.2032,0.18301,0.225005
Any Mental Illness in the Past Year,18 or Older,2016-17,Arizona,0.180243,0.159816,0.202651
Any Mental Illness in the Past Year,18 or Older,2016-17,Arkansas,0.207274,0.186986,0.229142
Any Mental Illness in the Past Year,18 or Older,2016-17,California,0.181759,0.171354,0.192649
Any Mental Illness in the Past Year,18 or Older,2016-17,Colorado,0.198581,0.179401,0.219263
Any Mental Illness in the Past Year,18 or Older,2016-17,Connecticut,0.181819,0.162061,0.203401
Any Mental Illness in the Past Year,18 or Older,2016-17,Delaware,0.186532,0.166903,0.207894
Any Mental Illness in the Past Year,18 or Older,2016-17,District of Columbia,0.211737,0.189885,0.235372
Any Mental Illness in the Past Year,18 or Older,2016-17,Florida,0.175421,0.163592,0.187914
Any Mental Illness in the Past Year,18 or Older,2016-17,Georgia,0.180709,0.164591,0.198031
Any Mental Illness in the Past Year,18 or Older,2016-17,Hawaii,0.162744,0.144071,0.183319
Any Mental Illness in the Past Year,18 or Older,2016-17,Idaho,0.250336,0.226368,0.275937
Any Mental Illness in the Past Year,18 or Older,2016-17,Illinois,0.167609,0.154401,0.181703
Any Mental Illness in the Past Year,18 or Older,2016-17,Indiana,0.208964,0.188885,0.23057
Any Mental Illness in the Past Year,18 or Older,2016-17,Iowa,0.190155,0.171483,0.210343
Any Mental Illness in the Past Year,18 or Older,2016-17,Kansas,0.197087,0.177961,0.217725
Any Mental Illness in the Past Year,18 or Older,2016-17,Kentucky,0.222934,0.201541,0.245899
Any Mental Illness in the Past Year,18 or Older,2016-17,Louisiana,0.191127,0.171698,0.212192
Any Mental Illness in the Past Year,18 or Older,2016-17,Maine,0.190075,0.170827,0.210941
Any Mental Illness in the Past Year,18 or Older,2016-17,Maryland,0.169429,0.1517,0.188769
Any Mental Illness in the Past Year,18 or Older,2016-17,Massachusetts,0.205683,0.185193,0.227806
Any Mental Illness in the Past Year,18 or Older,2016-17,Michigan,0.183445,0.170097,0.197591
Any Mental Illness in the Past Year,18 or Older,2016-17,Minnesota,0.182134,0.163967,0.201827
Any Mental Illness in the Past Year,18 or Older,2016-17,Mississippi,0.190363,0.169862,0.212704
Any Mental Illness in the Past Year,18 or Older,2016-17,Missouri,0.200477,0.180621,0.221924
Any Mental Illness in the Past Year,18 or Older,2016-17,Montana,0.197814,0.178754,0.218367
Any Mental Illness in the Past Year,18 or Older,2016-17,Nebraska,0.178752,0.160293,0.198834
Any Mental Illness in the Past Year,18 or Older,2016-17,Nevada,0.188714,0.168778,0.21041
Any Mental Illness in the Past Year,18 or Older,2016-17,New Hampshire,0.19147,0.173024,0.21138
Any Mental Illness in the Past Year,18 or Older,2016-17,New Jersey,0.161864,0.145627,0.179531
Any Mental Illness in the Past Year,18 or Older,2016-17,New Mexico,0.177296,0.158797,0.197444
Any Mental Illness in the Past Year,18 or Older,2016-17,New York,0.176133,0.16387,0.189106
Any Mental Illness in the Past Year,18 or Older,2016-17,North Carolina,0.180173,0.164092,0.197457
Any Mental Illness in the Past Year,18 or Older,2016-17,North Dakota,0.18303,0.164556,0.203075
Any Mental Illness in the Past Year,18 or Older,2016-17,Ohio,0.198532,0.184903,0.212904
Any Mental Illness in the Past Year,18 or Older,2016-17,Oklahoma,0.200153,0.179816,0.222168
Any Mental Illness in the Past Year,18 or Older,2016-17,Oregon,0.235884,0.213139,0.260253
Any Mental Illness in the Past Year,18 or Older,2016-17,Pennsylvania,0.179829,0.166447,0.194038
Any Mental Illness in the Past Year,18 or Older,2016-17,Rhode Island,0.195934,0.175966,0.217569
Any Mental Illness in the Past Year,18 or Older,2016-17,South Carolina,0.185607,0.166271,0.206634
Any Mental Illness in the Past Year,18 or Older,2016-17,South Dakota,0.177013,0.158181,0.197562
Any Mental Illness in the Past Year,18 or Older,2016-17,Tennessee,0.192397,0.173652,0.212645
Any Mental Illness in the Past Year,18 or Older,2016-17,Texas,0.163234,0.152206,0.174897
Any Mental Illness in the Past Year,18 or Older,2016-17,Utah,0.234734,0.215011,0.255677
Any Mental Illness in the Past Year,18 or Older,2016-17,Vermont,0.198399,0.178742,0.219639
Any Mental Illness in the Past Year,18 or Older,2016-17,Virginia,0.187806,0.171751,0.204991
Any Mental Illness in the Past Year,18 or Older,2016-17,Washington,0.228147,0.205003,0.253072
Any Mental Illness in the Past Year,18 or Older,2016-17,West Virginia,0.22888,0.20687,0.252485
Any Mental Illness in the Past Year,18 or Older,2016-17,Wisconsin,0.185432,0.166696,0.205754
Any Mental Illness in the Past Year,18 or Older,2016-17,Wyoming,0.202504,0.182203,0.224447
