outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Any Mental Illness in the Past Year,18 or Older,2012-13,Alabama,0.193493,0.17106,0.218094
Any Mental Illness in the Past Year,18 or Older,2012-13,Alaska,0.18634,0.165057,0.209678
Any Mental Illness in the Past Year,18 or Older,2012-13,Arizona,0.183385,0.161205,0.207861
Any Mental Illness in the Past Year,18 or Older,2012-13,Arkansas,0.204583,0.181481,0.2298
Any Mental Illness in the Past Year,18 or Older,2012-13,California,0.185432,0.172227,0.199406
Any Mental Illness in the Past Year,18 or Older,2012-13,Colorado,0.171903,0.151025,0.195004
Any Mental Illness in the Past Year,18 or Older,2012-13,Connecticut,0.172607,0.151518,0.195953
Any Mental Illness in the Past Year,18 or Older,2012-13,Delaware,0.183783,0.162043,0.207715
Any Mental Illness in the Past Year,18 or Older,2012-13,District of Columbia,0.19998,0.177241,0.22484
Any Mental Illness in the Past Year,18 or Older,2012-13,Florida,0.169057,0.155676,0.183338
Any Mental Illness in the Past Year,18 or Older,2012-13,Georgia,0.188037,0.165025,0.213438
Any Mental Illness in the Past Year,18 or Older,2012-13,Hawaii,0.181375,0.158759,0.206422
Any Mental Illness in the Past Year,18 or Older,2012-13,Idaho,0.199675,0.176557,0.224993
Any Mental Illness in the Past Year,18 or Older,2012-13,Illinois,0.166814,0.154195,0.180246
Any Mental Illness in the Past Year,18 or Older,2012-13,Indiana,0.195873,0.173876,0.219912
Any Mental Illness in the Past Year,18 or Older,2012-13,Iowa,0.180305,0.158559,0.20431
Any Mental Illness in the Past Year,18 or Older,2012-13,Kansas,0.176377,0.154479,0.200642
Any Mental Illness in the Past Year,18 or Older,2012-13,Kentucky,0.196801,0.174891,0.220722
Any Mental Illness in the Past Year,18 or Older,2012-13,Louisiana,0.200757,0.177988,0.22564
Any Mental Illness in the Past Year,18 or Older,2012-13,Maine,0.213627,0.18897,0.240548
Any Mental Illness in the Past Year,18 or Older,2012-13,Maryland,0.165544,0.145016,0.188338
Any Mental Illness in the Past Year,18 or Older,2012-13,Massachusetts,0.193362,0.171745,0.216988
Any Mental Illness in the Past Year,18 or Older,2012-13,Michigan,0.200526,0.187313,0.214425
Any Mental Illness in the Past Year,18 or Older,2012-13,Minnesota,0.179546,0.157828,0.203531
Any Mental Illness in the Past Year,18 or Older,2012-13,Mississippi,0.191238,0.168159,0.21666
Any Mental Illness in the Past Year,18 or Older,2012-13,Missouri,0.190663,0.168777,0.214654
Any Mental Illness in the Past Year,18 or Older,2012-13,Montana,0.198652,0.176231,0.223153
Any Mental Illness in the Past Year,18 or Older,2012-13,Nebraska,0.179933,0.158481,0.203586
Any Mental Illness in the Past Year,18 or Older,2012-13,Nevada,0.183794,0.161704,0.208152
Any Mental Illness in the Past Year,18 or Older,2012-13,New Hampshire,0.186369,0.165343,0.209399
Any Mental Illness in the Past Year,18 or Older,2012-13,New Jersey,0.156183,0.135543,0.179314
Any Mental Illness in the Past Year,18 or Older,2012-13,New Mexico,0.193337,0.171172,0.217619
Any Mental Illness in the Past Year,18 or Older,2012-13,New York,0.186863,0.173189,0.201355
Any Mental Illness in the Past Year,18 or Older,2012-13,North Carolina,0.18466,0.162372,0.209242
Any Mental Illness in the Past Year,18 or Older,2012-13,North Dakota,0.163521,0.14454,0.184457
Any Mental Illness in the Past Year,18 or Older,2012-13,Ohio,0.196853,0.18399,0.210384
Any Mental Illness in the Past Year,18 or Older,2012-13,Oklahoma,0.204824,0.181467,0.230341
Any Mental Illness in the Past Year,18 or Older,2012-13,Oregon,0.223117,0.197905,0.250539
Any Mental Illness in the Past Year,18 or Older,2012-13,Pennsylvania,0.179554,0.16704,0.192788
Any Mental Illness in the Past Year,18 or Older,2012-13,Rhode Island,0.201325,0.17713,0.227909
Any Mental Illness in the Past Year,18 or Older,2012-13,South Carolina,0.180442,0.158762,0.204363
Any Mental Illness in the Past Year,18 or Older,2012-13,South Dakota,0.170525,0.149667,0.193628
Any Mental Illness in the Past Year,18 or Older,2012-13,Tennessee,0.205158,0.183052,0.229184
Any Mental Illness in the Past Year,18 or Older,2012-13,Texas,0.18108,0.168053,0.19488
Any Mental Illness in the Past Year,18 or Older,2012-13,Utah,0.223049,0.199529,0.248482
Any Mental Illness in the Past Year,18 or Older,2012-13,Vermont,0.197356,0.175023,0.221772
Any Mental Illness in the Past Year,18 or Older,2012-13,Virginia,0.175641,0.154811,0.198614
Any Mental Illness in the Past Year,18 or Older,2012-13,Washington,0.198489,0.177037,0.221841
Any Mental Illness in the Past Year,18 or Older,2012-13,West Virginia,0.217334,0.193717,0.242963
Any Mental Illness in the Past Year,18 or Older,2012-13,Wisconsin,0.18332,0.161015,0.207949
Any Mental Illness in the Past Year,18 or Older,2012-13,Wyoming,0.191011,0.169983,0.21397
