,Year,Location Short,Location,Data Value 1,Data Value 2,Low Confidence Limit,High Confidence Limit,Lat and Long,Location ID,Category
37881,2016,ND,North Dakota,3.1,3.1,2.8,3.3,"(47.47531977900047, -100.11842104899966)",38,OVERALL
37882,2016,OH,Ohio,4.2,4.2,4.0,4.5,"(40.06021014100048, -82.40426005599966)",39,OVERALL
37883,2016,OK,Oklahoma,4.4,4.4,4.1,4.8,"(35.47203135600046, -97.52107021399968)",40,OVERALL
37884,2016,OR,Oregon,4.4,4.4,4.1,4.7,"(44.56744942400047, -120.15503132599969)",41,OVERALL
37885,2016,PA,Pennsylvania,4.3,4.3,4.0,4.6,"(40.79373015200048, -77.86070029399963)",42,OVERALL
37886,2016,RI,Rhode Island,4.3,4.3,3.9,4.7,"(41.70828019300046, -71.52247031399963)",44,OVERALL
37887,2016,SC,South Carolina,4.4,4.4,4.1,4.6,"(33.998821303000454, -81.04537120699968)",45,OVERALL
37888,2016,SD,South Dakota,2.9,2.9,2.5,3.2,"(44.353130053000484, -100.3735306369997)",46,OVERALL
37889,2016,TN,Tennessee,4.4,4.4,4.1,4.7,"(35.68094058000048, -85.77449091399967)",47,OVERALL
37890,2016,TX,Texas,3.4,3.4,3.1,3.7,"(31.827240407000488, -99.42677020599967)",48,OVERALL
37891,2016,UT,Utah,3.6,3.6,3.4,3.8,"(39.360700171000474, -111.58713063499971)",49,OVERALL
37892,2016,VT,Vermont,4.0,4.0,3.7,4.3,"(43.62538123900049, -72.51764079099962)",50,OVERALL
37893,2016,VA,Virginia,3.4,3.4,3.2,3.6,"(37.54268067400045, -78.45789046299967)",51,OVERALL
37894,2016,WA,Washington,3.8,3.8,3.6,4.0,"(47.52227862900048, -120.47001078999972)",53,OVERALL
37895,2016,WV,West Virginia,5.2,5.2,4.9,5.5,"(38.66551020200046, -80.71264013499967)",54,OVERALL
37896,2016,WI,Wisconsin,3.8,3.8,3.5,4.1,"(44.39319117400049, -89.81637074199966)",55,OVERALL
37897,2016,WY,Wyoming,3.6,3.6,3.2,4.0,"(43.23554134300048, -108.10983035299967)",56,OVERALL
37898,2016,GU,Guam,3.9,3.9,3.1,4.6,"(13.444304, 144.793731)",66,OVERALL
37899,2016,PR,Puerto Rico,3.8,3.8,3.5,4.1,"(18.220833, -66.590149)",72,OVERALL
37900,2016,VI,Virgin Islands,2.8,2.8,2.2,3.5,"(18.335765, -64.896335)",78,OVERALL
37901,2016,US,United States,3.2,3.2,3.0,3.4,,59,GENDER
37902,2016,AL,Alabama,3.9,3.9,3.5,4.3,"(32.84057112200048, -86.63186076199969)",1,GENDER
37903,2016,AK,Alaska,2.8,2.8,2.2,3.4,"(64.84507995700051, -147.72205903599973)",2,GENDER
37904,2016,AZ,Arizona,3.4,3.4,3.0,3.8,"(34.865970280000454, -111.76381127699972)",4,GENDER
37905,2016,AR,Arkansas,4.4,4.4,3.7,5.1,"(34.74865012400045, -92.27449074299966)",5,GENDER
37906,2016,CA,California,3.0,3.0,2.8,3.2,"(37.63864012300047, -120.99999953799971)",6,GENDER
37907,2016,CO,Colorado,3.0,3.0,2.8,3.2,"(38.843840757000464, -106.13361092099967)",8,GENDER
37908,2016,CT,Connecticut,3.3,3.3,3.0,3.6,"(41.56266102000046, -72.64984095199964)",9,GENDER
37909,2016,DE,Delaware,3.0,3.0,2.5,3.5,"(39.008830667000495, -75.57774116799965)",10,GENDER
37910,2016,DC,District of Columbia,2.9,2.9,2.5,3.3,"(38.907192, -77.036871)",11,GENDER
37911,2016,FL,Florida,3.0,3.0,2.8,3.3,"(28.932040377000476, -81.92896053899966)",12,GENDER
37912,2016,GA,Georgia,3.2,3.2,2.8,3.7,"(32.83968109300048, -83.62758034599966)",13,GENDER
37913,2016,HI,Hawaii,2.8,2.8,2.5,3.2,"(21.304850435000446, -157.85774940299973)",15,GENDER
37914,2016,ID,Idaho,2.8,2.8,2.4,3.1,"(43.682630005000476, -114.3637300419997)",16,GENDER
37915,2016,KY,Kentucky,3.7,3.7,3.3,4.1,"(37.645970271000465, -84.77497104799966)",21,GENDER
37916,2016,MD,Maryland,2.8,2.8,2.6,3.1,"(39.29058096400047, -76.60926011099963)",24,GENDER
37917,2016,MA,Massachusetts,3.4,3.4,3.1,3.8,"(42.27687047000046, -72.08269067499964)",25,GENDER
37918,2016,MI,Michigan,3.5,3.5,3.3,3.8,"(44.6613195430005, -84.71439026999968)",26,GENDER
37919,2016,MN,Minnesota,2.5,2.5,2.3,2.7,"(46.35564873600049, -94.79420050299967)",27,GENDER
37920,2016,MS,Mississippi,3.4,3.4,2.9,3.8,"(32.745510099000455, -89.53803082499968)",28,GENDER
37921,2016,MO,Missouri,3.5,3.5,3.0,4.0,"(38.635790776000476, -92.56630005299968)",29,GENDER
37922,2016,MT,Montana,2.8,2.8,2.4,3.2,"(47.06652897200047, -109.42442064499971)",30,GENDER
37923,2016,NE,Nebraska,2.4,2.4,2.1,2.6,"(41.6410409880005, -99.36572062299967)",31,GENDER
37924,2016,NV,Nevada,3.8,3.8,3.2,4.3,"(39.493240390000494, -117.07184056399967)",32,GENDER
37925,2016,NH,New Hampshire,3.1,3.1,2.7,3.5,"(43.65595011300047, -71.50036091999965)",33,GENDER
37926,2016,NJ,New Jersey,2.9,2.9,2.5,3.4,"(40.13057004800049, -74.27369128799967)",34,GENDER
37927,2016,NM,New Mexico,3.6,3.6,3.2,4.1,"(34.52088095200048, -106.24058098499967)",35,GENDER
37928,2016,NY,New York,3.1,3.1,2.9,3.4,"(42.82700103200045, -75.54397042699964)",36,GENDER
37929,2016,NC,North Carolina,3.2,3.2,2.8,3.5,"(35.466220975000454, -79.15925046299964)",37,GENDER
37930,2016,ND,North Dakota,2.7,2.7,2.4,3.1,"(47.47531977900047, -100.11842104899966)",38,GENDER
37931,2016,OH,Ohio,3.2,3.2,2.9,3.5,"(40.06021014100048, -82.40426005599966)",39,GENDER
37932,2016,OK,Oklahoma,3.8,3.8,3.3,4.2,"(35.47203135600046, -97.52107021399968)",40,GENDER
37933,2016,OR,Oregon,3.6,3.6,3.2,4.0,"(44.56744942400047, -120.15503132599969)",41,GENDER
37934,2016,PA,Pennsylvania,3.3,3.3,3.0,3.6,"(40.79373015200048, -77.86070029399963)",42,GENDER
37935,2016,RI,Rhode Island,3.8,3.8,3.3,4.3,"(41.70828019300046, -71.52247031399963)",44,GENDER
37936,2016,SC,South Carolina,3.4,3.4,3.1,3.7,"(33.998821303000454, -81.04537120699968)",45,GENDER
37937,2016,SD,South Dakota,2.2,2.2,1.7,2.7,"(44.353130053000484, -100.3735306369997)",46,GENDER
37938,2016,TN,Tennessee,3.5,3.5,3.0,3.9,"(35.68094058000048, -85.77449091399967)",47,GENDER
37939,2016,TX,Texas,2.7,2.7,2.4,3.1,"(31.827240407000488, -99.42677020599967)",48,GENDER
37940,2016,WA,Washington,3.2,3.2,2.9,3.4,"(47.52227862900048, -120.47001078999972)",53,GENDER
37941,2016,WV,West Virginia,4.4,4.4,4.0,4.8,"(38.66551020200046, -80.71264013499967)",54,GENDER
37942,2016,WI,Wisconsin,3.1,3.1,2.7,3.5,"(44.39319117400049, -89.81637074199966)",55,GENDER
37943,2016,WY,Wyoming,2.8,2.8,2.3,3.3,"(43.23554134300048, -108.10983035299967)",56,GENDER
37944,2016,GU,Guam,3.7,3.7,2.8,4.6,"(13.444304, 144.793731)",66,GENDER
37945,2016,PR,Puerto Rico,3.4,3.4,2.9,3.8,"(18.220833, -66.590149)",72,GENDER
37946,2016,VI,Virgin Islands,2.3,2.3,1.4,3.2,"(18.335765, -64.896335)",78,GENDER
37947,2016,US,United States,3.2,3.2,3.0,3.4,,59,GENDER
37948,2016,AL,Alabama,3.9,3.9,3.5,4.4,"(32.84057112200048, -86.63186076199969)",1,GENDER
37949,2016,AK,Alaska,2.7,2.7,2.1,3.3,"(64.84507995700051, -147.72205903599973)",2,GENDER
37950,2016,AZ,Arizona,3.4,3.4,3.0,3.8,"(34.865970280000454, -111.76381127699972)",4,GENDER
37951,2016,AR,Arkansas,4.5,4.5,3.8,5.3,"(34.74865012400045, -92.27449074299966)",5,GENDER
37952,2016,CA,California,3.0,3.0,2.7,3.2,"(37.63864012300047, -120.99999953799971)",6,GENDER
37953,2016,CO,Colorado,3.0,3.0,2.8,3.2,"(38.843840757000464, -106.13361092099967)",8,GENDER
37954,2016,CT,Connecticut,3.3,3.3,3.0,3.7,"(41.56266102000046, -72.64984095199964)",9,GENDER
37955,2016,DE,Delaware,3.1,3.1,2.6,3.7,"(39.008830667000495, -75.57774116799965)",10,GENDER
37956,2016,DC,District of Columbia,2.9,2.9,2.5,3.3,"(38.907192, -77.036871)",11,GENDER
37957,2016,FL,Florida,3.1,3.1,2.9,3.4,"(28.932040377000476, -81.92896053899966)",12,GENDER
37958,2016,GA,Georgia,3.2,3.2,2.8,3.7,"(32.83968109300048, -83.62758034599966)",13,GENDER
37959,2016,HI,Hawaii,2.8,2.8,2.5,3.2,"(21.304850435000446, -157.85774940299973)",15,GENDER
37960,2016,ID,Idaho,2.8,2.8,2.4,3.2,"(43.682630005000476, -114.3637300419997)",16,GENDER
37961,2016,IL,Illinois,3.0,3.0,2.6,3.4,"(40.48501028300046, -88.99771017799969)",17,GENDER
37962,2016,IN,Indiana,3.6,3.6,3.2,4.0,"(39.766910452000445, -86.14996019399968)",18,GENDER
37964,2016,IA,Iowa,2.6,2.6,2.3,2.9,"(42.46940091300047, -93.81649055599968)",19,GENDER
37965,2016,KS,Kansas,2.6,2.6,2.3,2.8,"(38.34774030000045, -98.20078122699965)",20,GENDER
37966,2016,KY,Kentucky,3.8,3.8,3.4,4.2,"(37.645970271000465, -84.77497104799966)",21,GENDER
37967,2016,LA,Louisiana,3.5,3.5,3.0,4.0,"(31.31266064400046, -92.44568007099969)",22,GENDER
37968,2016,ME,Maine,4.0,4.0,3.5,4.5,"(45.254228894000505, -68.98503133599962)",23,GENDER
37969,2016,MD,Maryland,2.9,2.9,2.6,3.1,"(39.29058096400047, -76.60926011099963)",24,GENDER
37970,2016,MA,Massachusetts,3.4,3.4,3.1,3.8,"(42.27687047000046, -72.08269067499964)",25,GENDER
37971,2016,MI,Michigan,3.6,3.6,3.3,4.0,"(44.6613195430005, -84.71439026999968)",26,GENDER
37972,2016,MN,Minnesota,2.5,2.5,2.3,2.7,"(46.35564873600049, -94.79420050299967)",27,GENDER
37973,2016,MS,Mississippi,3.4,3.4,2.9,3.8,"(32.745510099000455, -89.53803082499968)",28,GENDER
37974,2016,MO,Missouri,3.6,3.6,3.1,4.1,"(38.635790776000476, -92.56630005299968)",29,GENDER
37975,2016,MT,Montana,2.8,2.8,2.4,3.2,"(47.06652897200047, -109.42442064499971)",30,GENDER
37976,2016,NE,Nebraska,2.4,2.4,2.1,2.6,"(41.6410409880005, -99.36572062299967)",31,GENDER
37977,2016,NV,Nevada,3.8,3.8,3.3,4.3,"(39.493240390000494, -117.07184056399967)",32,GENDER
37978,2016,NH,New Hampshire,3.3,3.3,2.9,3.8,"(43.65595011300047, -71.50036091999965)",33,GENDER
37979,2016,NJ,New Jersey,3.0,3.0,2.5,3.4,"(40.13057004800049, -74.27369128799967)",34,GENDER
37980,2016,NM,New Mexico,3.6,3.6,3.2,4.1,"(34.52088095200048, -106.24058098499967)",35,GENDER
37981,2016,NY,New York,3.1,3.1,2.9,3.4,"(42.82700103200045, -75.54397042699964)",36,GENDER
37982,2016,NC,North Carolina,3.2,3.2,2.8,3.5,"(35.466220975000454, -79.15925046299964)",37,GENDER
37983,2016,ND,North Dakota,2.7,2.7,2.3,3.1,"(47.47531977900047, -100.11842104899966)",38,GENDER
37984,2016,OH,Ohio,3.3,3.3,2.9,3.6,"(40.06021014100048, -82.40426005599966)",39,GENDER
37985,2016,OK,Oklahoma,3.8,3.8,3.3,4.2,"(35.47203135600046, -97.52107021399968)",40,GENDER
37986,2016,OR,Oregon,3.7,3.7,3.3,4.1,"(44.56744942400047, -120.15503132599969)",41,GENDER
37987,2016,PA,Pennsylvania,3.4,3.4,3.0,3.7,"(40.79373015200048, -77.86070029399963)",42,GENDER
37988,2016,RI,Rhode Island,3.9,3.9,3.4,4.5,"(41.70828019300046, -71.52247031399963)",44,GENDER
37989,2016,SC,South Carolina,3.5,3.5,3.2,3.9,"(33.998821303000454, -81.04537120699968)",45,GENDER
37990,2016,SD,South Dakota,2.3,2.3,1.8,2.7,"(44.353130053000484, -100.3735306369997)",46,GENDER
37991,2016,TN,Tennessee,3.4,3.4,3.0,3.9,"(35.68094058000048, -85.77449091399967)",47,GENDER
37992,2016,TX,Texas,2.7,2.7,2.3,3.1,"(31.827240407000488, -99.42677020599967)",48,GENDER
37993,2016,UT,Utah,2.8,2.8,2.6,3.0,"(39.360700171000474, -111.58713063499971)",49,GENDER
37994,2016,VT,Vermont,3.6,3.6,3.1,4.0,"(43.62538123900049, -72.51764079099962)",50,GENDER
37995,2016,VA,Virginia,2.7,2.7,2.4,3.0,"(37.54268067400045, -78.45789046299967)",51,GENDER
37996,2016,WA,Washington,3.2,3.2,3.0,3.4,"(47.52227862900048, -120.47001078999972)",53,GENDER
37997,2016,WV,West Virginia,4.5,4.5,4.1,4.9,"(38.66551020200046, -80.71264013499967)",54,GENDER
37998,2016,WI,Wisconsin,3.2,3.2,2.8,3.6,"(44.39319117400049, -89.81637074199966)",55,GENDER
37999,2016,WY,Wyoming,2.7,2.7,2.2,3.2,"(43.23554134300048, -108.10983035299967)",56,GENDER
38000,2016,GU,Guam,3.5,3.5,2.7,4.4,"(13.444304, 144.793731)",66,GENDER
38001,2016,PR,Puerto Rico,3.4,3.4,2.9,3.9,"(18.220833, -66.590149)",72,GENDER
38002,2016,VI,Virgin Islands,2.4,2.4,1.5,3.2,"(18.335765, -64.896335)",78,GENDER
38003,2016,US,United States,4.3,4.3,4.1,4.5,,59,GENDER
38004,2016,AL,Alabama,5.0,5.0,4.7,5.4,"(32.84057112200048, -86.63186076199969)",1,GENDER
38005,2016,AK,Alaska,4.2,4.2,3.5,4.9,"(64.84507995700051, -147.72205903599973)",2,GENDER
38006,2016,AZ,Arizona,4.2,4.2,3.8,4.6,"(34.865970280000454, -111.76381127699972)",4,GENDER
38007,2016,AR,Arkansas,5.6,5.6,4.9,6.2,"(34.74865012400045, -92.27449074299966)",5,GENDER
38008,2016,CA,California,4.0,4.0,3.8,4.3,"(37.63864012300047, -120.99999953799971)",6,GENDER
38009,2016,CO,Colorado,4.2,4.2,3.9,4.4,"(38.843840757000464, -106.13361092099967)",8,GENDER
38010,2016,CT,Connecticut,4.0,4.0,3.7,4.3,"(41.56266102000046, -72.64984095199964)",9,GENDER
38011,2016,DE,Delaware,4.1,4.1,3.5,4.6,"(39.008830667000495, -75.57774116799965)",10,GENDER
38012,2016,DC,District of Columbia,3.8,3.8,3.3,4.2,"(38.907192, -77.036871)",11,GENDER
38013,2016,FL,Florida,4.1,4.1,3.8,4.3,"(28.932040377000476, -81.92896053899966)",12,GENDER
38014,2016,GA,Georgia,4.2,4.2,3.8,4.6,"(32.83968109300048, -83.62758034599966)",13,GENDER
38015,2016,HI,Hawaii,3.4,3.4,3.1,3.8,"(21.304850435000446, -157.85774940299973)",15,GENDER
38016,2016,ID,Idaho,4.3,4.3,3.9,4.7,"(43.682630005000476, -114.3637300419997)",16,GENDER
38017,2016,IL,Illinois,3.8,3.8,3.5,4.2,"(40.48501028300046, -88.99771017799969)",17,GENDER
38018,2016,IN,Indiana,4.8,4.8,4.5,5.1,"(39.766910452000445, -86.14996019399968)",18,GENDER
38019,2016,IA,Iowa,3.9,3.9,3.6,4.3,"(42.46940091300047, -93.81649055599968)",19,GENDER
38020,2016,KS,Kansas,3.9,3.9,3.6,4.2,"(38.34774030000045, -98.20078122699965)",20,GENDER
38021,2016,KY,Kentucky,5.4,5.4,5.0,5.8,"(37.645970271000465, -84.77497104799966)",21,GENDER
38022,2016,LA,Louisiana,4.9,4.9,4.3,5.4,"(31.31266064400046, -92.44568007099969)",22,GENDER
38023,2016,ME,Maine,4.4,4.4,4.0,4.8,"(45.254228894000505, -68.98503133599962)",23,GENDER
